Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
GO:0000286	536.757	418.766	488.087	248.934	130.197	218.606	70.685	293.878	93.077	4871.561	430.431	263.221	199.514	314.132	379.303	165.946	1817.454	165.946	197.486	1570.986	351.604	1817.454	971.468	908.125	1040.812	1153.313	573.902	1016.234	865.522	1352.281	4803.525	813.294	897.677	1043.738	288.473	110.136	701.089	428.355	407.108	98.455	175.157	707.385	427.029	354.217	2185.015	352.854	158.693	365.151	71.243	297.632	83.317	389.624	606.613	397.975	477.486	1033.62	608.132	804.907	4871.561	1614.439	272.331	28.894	1086.125	1136.776	357.315	468.348	1536.858	1784.981	721.856	278.534	759.818	1224.452	27.319	929.054	1820.598	719.163	800.011	1232.444	163.03	162.547
GO:0000287	29334.643	78113.684	32869.897	198995.278	23034.507	29483.23	21546.278	47084.939	18288.958	124540.637	18712.568	18239.078	19641.4	30002.404	39958.001	29588.519	104645.207	29588.519	28680.151	70645.842	94598.726	104645.207	61897.398	70807.101	94186.561	98271.867	68279.747	106857.241	186215.406	74850.967	140117.119	90896.889	94653.641	84880.396	35066.239	175194.558	88031.618	62042.571	106534.799	9342.676	32372.891	54000.997	29816.122	29739.593	61243.051	59069.974	49560.286	26798.077	15194.794	59389.066	26913.296	13637.583	17598.399	36607.189	35949.049	80222.57	27597.002	127192.85	124540.637	120865.933	53973.393	16270.891	54984.849	83506.662	25963.374	48620.297	89859.888	122234.145	54276.751	22735.923	65643.125	68911.938	10778.234	100171.077	57176.623	135113.169	47827.675	35279.376	17438.964	42116.805
GO:0000288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.54	0	0	0	0	0	27.573	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.04	0	0	0	0	0	81.557	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336	0	0	0	0	0	15.655	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.972	0	0	0	0	0	22.842	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000413	1.739	0	1.736	9.733	0	9.169	40.608	1.704	0	12.744	0	1.751	2.232	27.839	0	3.999	0	3.999	5.227	2.247	31.398	0	0	12.25	59.474	124.348	0	0	1.748	3.5	0	12.749	16.197	0	0	290.17	19.73	63.36	1.748	0	0	1.748	5.248	0	1.751	208.098	10.49	0	0	2.247	0	0	0	0	1.745	0	0	36.783	12.744	1.739	36.692	135.067	2.242	0	0	6.946	0	19.484	0	13.983	1.751	5.678	111.521	0	0	1.751	5.254	0	25.369	2.247
GO:0000439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.775	0	0	0	0	0	3.344	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.217	0	0	0	0	0	21.422	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000453	764.42	2366.026	562.479	4014	564.456	640.121	610.69	868.161	496.305	2799.055	416.539	381.56	365.665	476.933	744.245	625.393	1414.986	625.393	813.062	1496.836	2279.049	1414.986	1557.151	1920.179	2412.093	1550.678	1427.152	2729.598	4773.869	1778.82	3479.402	2104.153	2393.707	2029.682	524.117	3089.657	1592.652	1074.086	2695.721	194.855	627.68	1352.633	751.194	734.121	1700.671	1033.77	1139.386	647.091	256.918	1529.909	480.804	270.18	271.189	1092.39	922.394	1992.117	592.716	3003.932	2799.055	3005.2	1298.519	138.341	1558.024	853.927	607.733	946.874	1973.079	2738.863	1166.835	393.791	1339.027	1611.094	68.597	2484.548	1461.269	2739.738	490.305	852.965	187.318	791.039
GO:0000463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.669	0	0	0	0	0	26.042	0	0	0	0	0	0	0	0	0	0	0	0
