"name" "rpkm" "sample"
"56947" "V1.CD10-0_GL0019100" 7708.98353548001 "164HP"
"572" "766145.SFVA6_2836" 865.905824082573 "164HP"
"576" "469595.CSAG_04651" 1611.06201207836 "164HP"
"577" "MH0093_GL0020809" 12328.7671232877 "164HP"
"579" "MH0014_GL0016888" 5335.86867942101 "164HP"
"592" "NOM004_GL0003550" 12804.8045635319 "164HP"
"59348" "NLM003_GL0012305" 13118.6478126381 "164HP"
"602" "290338.CKO_02505" 698.909700866648 "164HP"
"603" "656374.ERCG_00533" 9594.94567784601 "164HP"
"60432" "MH0014_GL0094959" 3474.29025213421 "164HP"
"610" "550694.ERIG_00859" 2753.74509332692 "164HP"
"614" "T2D-109A_GL0050899" 12145.8646903043 "164HP"
"65540" "SZEY-95A_GL0021576" 5825.97065737213 "164HP"
"660" "766142.SD15574_3478" 1717.2351532755 "164HP"
"672" "469595.CSAG_03931" 1033.07919585115 "164HP"
"678" "MH0350_GL0132597" 734.905050267506 "164HP"
"68841" "DLF009_GL0029590" 7512.48627028371 "164HP"
"690" "MH0014_GL0067771" 7286.50539201399 "164HP"
"703" "997825.ECF_00189" 2069.27947688615 "164HP"
"704" "MH0265_GL0025658" 1337.75684931507 "164HP"
"706" "MH0025_GL0024004" 2836.689222644 "164HP"
"712" "O2.CD1-0_GL0208323" 1075.245693641 "164HP"
"715" "670890.ECLT68_1330" 1878.73062223558 "164HP"
"71649" "MH0014_GL0026704" 25129.7395857684 "164HP"
"726" "656420.ERJG_02565" 1659.76940270432 "164HP"
"727" "DOM008_GL0002520" 3013.69863013699 "164HP"
"736" "1048689.ECO55CA74_20350" 12872.4015710317 "164HP"
"741" "656420.ERJG_02902" 2140.41095890411 "164HP"
"742" "656420.ERJG_02605" 2394.86540856404 "164HP"
"74941" "ED13A_GL0077814" 8317.84493242468 "164HP"
"750" "MH0014_GL0053433" 2321.80171813327 "164HP"
"753" "MH0301_GL0037360" 856.164383561644 "164HP"
"757" "N087A_GL0100633" 9226.49414931724 "164HP"
"75844" "T2D-135A_GL0033046" 15698.7696816057 "164HP"
"765" "MH0097_GL0040496" 3728.24303883764 "164HP"
"77636" "T2D-102A_GL0004460" 6860.29153494907 "164HP"
"78033" "550677.ECEG_02458" 5550.49843475944 "164HP"
"788" "NOM005_GL0027217" 2902.25214766659 "164HP"
"79540" "932676.SGB_03063" 7741.08845896604 "164HP"
"796" "MH0014_GL0090840" 12826.432712534 "164HP"
"797" "MH0359_GL0162556" 2700.83401754462 "164HP"
"802" "ED19A_GL0000858" 1119.16912883875 "164HP"
"81132" "MH0427_GL0008174" 1942.6744521658 "164HP"
"822" "MH0014_GL0111040" 6094.72951009984 "164HP"
"826" "V1.CD10-0_GL0035977" 5416.85725979247 "164HP"
"841" "591020.SFxv_0523" 2007.75567334389 "164HP"
"84941" "MH0097_GL0000962" 9834.32062199186 "164HP"
"852" "696406.UMNK88_944" 7510.21389089161 "164HP"
"854" "MH0121_GL0078600" 1945.82814445828 "164HP"
"860" "656420.ERJG_02187" 3722.45384157237 "164HP"
"892" "MH0415_GL0053984" 2684.83604601212 "164HP"
"895" "MH0238_GL0183876" 1799.29467648682 "164HP"
"896" "T2D-12A_GL0079900" 3919.0623191202 "164HP"
"90039" "MH0079_GL0019080" 13658.6535898939 "164HP"
"906" "MH0014_GL0062784" 3675.83992942387 "164HP"
"916" "1072459.CE10_2397" 927.253845012611 "164HP"
"921" "754092.SFJ1713_2437" 2151.93920464327 "164HP"
"928" "SZEY-95A_GL0022207" 2801.99252801992 "164HP"
"92948" "1033813.ECNA114_3954" 17810.7189281072 "164HP"
"939" "SZEY-48A_GL0015140" 933.997509339975 "164HP"
"94238" "MH0014_GL0004838" 5969.58652758577 "164HP"
"943" "MH0097_GL0090611" 4039.97712751411 "164HP"
"945" "ED19A_GL0055839" 928.930615075924 "164HP"
"947" "198214.SF0805" 960.184355396236 "164HP"
