"name" "rpkm" "sample"
"5885" "N043A_GL0038371" 28258.0848103696 "163HP"
"6691" "MH0315_GL0094431" 3489.71505111067 "163HP"
"7377" "656383.EREG_03241" 11733.4119083408 "163HP"
"8711" "MH0277_GL0006277" 1204.84084396691 "163HP"
"9372" "MH0025_GL0024003" 21079.4024200208 "163HP"
"9915" "MH0277_GL0046651" 975.506278890505 "163HP"
"10239" "DOF004_GL0030086" 2791.68668125908 "163HP"
"10460" "199310.c2426" 1082.17495522501 "163HP"
"105" "MH0277_GL0052827" 903.084412564361 "163HP"
"11122" "N089A_GL0090637" 746.690202341844 "163HP"
"11215" "O2.CD1-0-PT_GL0015154" 1603.0745838937 "163HP"
"11545" "MH0014_GL0016573" 3039.93755968252 "163HP"
"12222" "941429.SDB_03929" 489.5159392264 "163HP"
"12315" "MH0277_GL0026575" 599.332463502151 "163HP"
"12561" "511145.b4494" 20299.3149132704 "163HP"
"12622" "656420.ERJG_00170" 809.209287214068 "163HP"
"12713" "O2.CD1-0-PT_GL0047198" 1019.56504539511 "163HP"
"1295" "DLM013_GL0070714" 312.84373705609 "163HP"
"13035" "199310.c2421" 1049.65057132481 "163HP"
"13239" "MH0014_GL0063410" 1491.51678521029 "163HP"
"151" "199310.c3688" 457.34774893438 "163HP"
"15340" "SZEY-48A_GL0031505" 3563.53542257668 "163HP"
"16031" "MH0014_GL0114265" 463.975977179806 "163HP"
"16350" "MH0014_GL0048505" 3972.58263672928 "163HP"
"16928" "O2.UC47-1_GL0068127" 2023.2112313454 "163HP"
"17248" "550694.ERIG_00722" 9419.48995011963 "163HP"
"1749" "MH0277_GL0007425" 964.650619221291 "163HP"
"17513" "MH0348_GL0011327" 1457.95866832971 "163HP"
"17650" "511145.b4038" 15430.0625731561 "163HP"
"17734" "MH0014_GL0016574" 1825.91306608783 "163HP"
"180" "MH0025_GL0074777" 488.768586647429 "163HP"
"18317" "V1.CD35-0_GL0011543" 622.847128898961 "163HP"
"186" "656420.ERJG_02923" 873.68575819823 "163HP"
"18828" "MH0336_GL0013317" 4663.5065737797 "163HP"
"19024" "MH0014_GL0062676" 1157.14490694241 "163HP"
"19132" "MH0264_GL0002674" 2185.71815755788 "163HP"
"19918" "926026.ECO5101_24206" 2904.39395199565 "163HP"
"2057" "MH0277_GL0026574" 1342.32043712397 "163HP"
"20620" "V1.CD20-0_GL0104496" 1350.8161360931 "163HP"
"207" "1072459.CE10_0024" 675.408068046552 "163HP"
"20816" "409438.ECSE_0020" 1620.97936331173 "163HP"
"21031" "199310.c2420" 1368.13429168404 "163HP"
"22140" "331111.EcE24377A_1651" 15574.5449637113 "163HP"
"22535" "290338.CKO_01253" 2041.91705674575 "163HP"
"22748" "NLM022_GL0081863" 11654.991021231 "163HP"
"23015" "656420.ERJG_02953" 1485.58433528569 "163HP"
"23238" "679205.HMPREF9347_00630" 11806.7078448308 "163HP"
"23316" "941429.SDB_03930" 1210.94439434162 "163HP"
"23423" "V1.CD20-0_GL0120434" 1064.60996189001 "163HP"
